                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.2366,                 3.9448,                 4.2483,                0.00434,                0.71429,                0.01303,                0.00419,                      0,                    inf,                      0,                 0.0874,                 0.0014,                 0.0014
                      1,                 3.2852,                 3.9116,                  4.235,                0.00413,                0.67857,                 0.0139,                0.00474,                      0,                    inf,                      0,               0.073843,              0.0028426,              0.0028426
                      2,                 3.2457,                 3.8921,                 4.2078,                0.01156,                0.60714,                0.02286,                0.00754,                      0,                    inf,                      0,               0.060226,              0.0042258,              0.0042258
                      3,                  3.212,                 3.8965,                   4.19,                0.01165,                0.60714,                0.02313,                 0.0077,                      0,                    inf,                      0,                0.04655,              0.0055495,              0.0055495
                      4,                 3.2479,                 3.8986,                 4.1787,                0.01174,                0.60714,                0.02473,                0.00841,                      0,                    inf,                      0,               0.032814,              0.0068139,              0.0068139
                      5,                 3.2494,                 3.8921,                 4.1724,                 0.0123,                0.64286,                0.02686,                0.00898,                      0,                    inf,                      0,               0.019019,              0.0080189,              0.0080189
                      6,                 3.2374,                 3.8618,                 4.1709,                 0.0123,                0.64286,                0.03124,                0.00979,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      7,                 3.2126,                 3.8408,                 4.1355,                0.01181,                0.60714,                0.11956,                0.02903,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 3.2161,                 3.8428,                 4.1238,                 0.0113,                0.60714,                 0.1464,                0.03376,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 3.0816,                  3.801,                 4.0626,                0.00804,                0.60714,                0.02044,                0.00727,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 3.2365,                 3.7636,                 4.0006,                0.00836,                0.71429,                0.01583,                0.00588,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 3.1281,                 3.7634,                 3.9532,                0.02188,                0.07143,                0.01343,                0.00266,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 3.1045,                 3.7087,                 3.8724,                0.00229,                0.10714,                0.00151,                0.00043,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 2.9353,                 3.7605,                 3.8044,                0.00287,                0.53571,                0.00227,                0.00059,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 2.9853,                  3.697,                 3.7384,                0.02532,                0.07143,                0.01107,                0.00257,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 2.9291,                 3.6909,                 3.6692,                0.01721,                0.03571,                0.00757,                 0.0022,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                  2.881,                 3.6765,                 3.5747,                0.01419,                0.14286,                0.00952,                0.00254,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                   2.88,                 3.6583,                 3.5197,                0.02307,                0.17857,                0.01401,                 0.0036,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 2.8627,                 3.6913,                 3.5137,                0.12878,                0.14286,                0.10149,                0.01295,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 2.8166,                 3.5892,                  3.438,                0.11972,                0.07143,                0.02809,                 0.0053,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 2.8321,                 3.5816,                 3.3924,                 0.1033,                0.17857,                0.07177,                0.01319,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                 2.7685,                 3.5683,                 3.3978,                0.09952,                0.21429,                0.07699,                0.01134,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 2.7453,                 3.5613,                 3.3326,                0.17914,                0.35714,                 0.1475,                0.02791,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                  2.688,                 3.4831,                 3.2864,                0.18628,                0.21429,                0.12685,                 0.0252,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 2.7129,                 3.5062,                 3.2845,                0.18876,                   0.25,                0.14657,                0.03795,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 2.6144,                 3.4246,                 3.2284,                 0.1622,                0.21429,                0.11939,                0.03246,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 2.6485,                 3.4094,                 3.2004,                0.23222,                0.39286,                0.18121,                0.05483,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                  2.645,                 3.3474,                 3.1875,                0.17443,                0.17857,                0.18622,                0.05967,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
